"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"1","SI201",0,4,2,4,-2,0,"Pre"
"2","SI201",1,3,1,4,-2,1,"Pre"
"3","SI201",2,4,4,3,0,-1,"Pre"
"4","SI201",3,4,6,4,2,0,"Pre"
"5","SI201",4,4,4,5,0,1,"Pre"
"6","SI201",5,6,6,5,0,-1,"Pre"
"7","SI201",6,4,1,3,-3,-1,"Pre"
"8","SI201",7,3,3,3,0,0,"Pre"
"9","SI201",8,4,1,5,-3,1,"Pre"
"10","SI201",9,6,6,4,0,-2,"Pre"
"11","SI201",10,6,6,5,0,-1,"Pre"
"12","SI201",11,5,8,4,3,-1,"Pre"
"13","SI201",12,6,3,6,-3,0,"Pre"
"14","SI201",13,4,4,4,0,0,"Pre"
"15","SI201",14,5,2,4,-3,-1,"Pre"
"16","SI201",15,3,3,4,0,1,"Pre"
"17","SI201",16,5,3,5,-2,0,"Pre"
"18","SI201",17,5,5,5,0,0,"Pre"
"19","SI201",18,4,2,5,-2,1,"Pre"
"20","SI201",19,6,8,5,2,-1,"Pre"
"21","SI201",20,5,2,5,-3,0,"Pre"
"22","SI201",21,5,2,5,-3,0,"Pre"
"23","SI201",22,4,4,3,0,-1,"Pre"
"24","SI201",23,5,7,5,2,0,"Pre"
"25","SI201",24,5,5,5,0,0,"Pre"
"26","SI201",25,4,2,5,-2,1,"Pre"
"27","SI201",26,5,3,4,-2,-1,"Pre"
"28","SI201",27,4,6,5,2,1,"Pre"
"29","SI201",28,4,7,3,3,-1,"Pre"
"30","SI201",29,6,8,5,2,-1,"Pre"
"31","SI201",30,4,4,5,0,1,"Pre"
"32","SI201",31,4,2,6,-2,2,"Pre"
"33","SI201",32,4,2,4,-2,0,"Pre"
"34","SI201",33,4,4,4,0,0,"Pre"
"35","SI201",34,5,3,4,-2,-1,"Pre"
"36","SI201",35,6,3,6,-3,0,"Pre"
"37","SI201",36,5,5,4,0,-1,"Pre"
"38","SI201",37,5,5,5,0,0,"Pre"
"39","SI201",38,4,1,4,-3,0,"Pre"
"40","SI201",39,5,7,5,2,0,"Pre"
"41","SI201",40,5,3,5,-2,0,"Pre"
"42","SI201",41,5,3,5,-2,0,"Pre"
"43","SI201",42,5,5,5,0,0,"Pre"
"44","SI201",43,5,5,5,0,0,"Pre"
"45","SI201",44,6,3,5,-3,-1,"Pre"
"46","SI201",45,5,5,4,0,-1,"Pre"
"47","SI201",46,5,7,5,2,0,"Pre"
"48","SI201",47,6,8,5,2,-1,"Pre"
"49","SI201",48,4,4,3,0,-1,"Pre"
"50","SI201",49,4,4,4,0,0,"Pre"
"51","SI201",50,6,8,6,2,0,"Pre"
"52","SI201",51,4,7,4,3,0,"Pre"
"53","SI201",52,4,4,4,0,0,"Pre"
"54","SI201",53,5,5,6,0,1,"Pre"
"55","SI201",54,5,7,4,2,-1,"Pre"
"56","SI201",55,5,3,5,-2,0,"Pre"
"57","SI201",56,6,6,5,0,-1,"Pre"
"58","SI201",57,4,6,4,2,0,"Pre"
"59","SI201",58,6,4,3,-2,-3,"Pre"
"60","SI201",59,6,3,5,-3,-1,"Pre"
"61","SI201",60,5,8,5,3,0,"Pre"
"62","SI201",61,4,7,4,3,0,"Pre"
"63","SI201",62,3,1,3,-2,0,"Pre"
"64","SI201",63,6,3,5,-3,-1,"Pre"
"65","SI201",64,4,7,5,3,1,"Pre"
"66","SI201",65,5,8,4,3,-1,"Pre"
"67","SI201",66,4,6,3,2,-1,"Pre"
"68","SI201",67,6,3,6,-3,0,"Pre"
"69","SI201",68,5,2,4,-3,-1,"Pre"
"70","SI201",69,5,7,5,2,0,"Pre"
"71","SI201",70,5,7,5,2,0,"Pre"
"72","SI201",71,4,7,4,3,0,"Pre"
"73","SI201",72,4,4,5,0,1,"Pre"
"74","SI201",73,3,1,3,-2,0,"Pre"
"75","SI201",74,5,3,5,-2,0,"Pre"
"76","SI201",75,4,4,4,0,0,"Pre"
"77","SI201",76,4,1,5,-3,1,"Pre"
"78","SI201",77,5,8,4,3,-1,"Pre"
"79","SI201",78,4,4,5,0,1,"Pre"
"80","SI201",79,5,7,5,2,0,"Pre"
"81","SI201",80,6,4,5,-2,-1,"Pre"
"82","SI201",81,6,3,5,-3,-1,"Pre"
"83","SI201",82,5,8,5,3,0,"Pre"
"84","SI201",83,6,6,5,0,-1,"Pre"
"85","SI201",84,5,8,4,3,-1,"Pre"
"86","SI201",85,5,5,4,0,-1,"Pre"
"87","SI201",86,4,7,5,3,1,"Pre"
"88","SI201",87,6,8,5,2,-1,"Pre"
"89","SI201",88,5,5,5,0,0,"Pre"
"90","SI201",89,3,6,4,3,1,"Pre"
"91","SI201",90,5,5,4,0,-1,"Pre"
"92","SI201",91,5,7,4,2,-1,"Pre"
"93","SI201",92,4,7,3,3,-1,"Pre"
"94","SI201",93,6,6,5,0,-1,"Pre"
"95","SI201",94,5,8,5,3,0,"Pre"
"96","SI201",95,5,5,5,0,0,"Pre"
"97","SI201",96,5,3,6,-2,1,"Pre"
"98","SI201",97,5,7,5,2,0,"Pre"
"99","SI201",98,3,3,3,0,0,"Pre"
"100","SI201",99,4,7,5,3,1,"Pre"
"101","SI201",100,5,2,5,-3,0,"Pre"
"102","SI201",101,4,2,4,-2,0,"Pre"
"103","SI201",102,6,6,6,0,0,"Pre"
"104","SI201",103,5,2,5,-3,0,"Pre"
"105","SI201",104,4,4,4,0,0,"Pre"
"106","SI201",105,5,8,5,3,0,"Pre"
"107","SI201",106,3,3,4,0,1,"Pre"
"108","SI201",107,4,2,5,-2,1,"Pre"
"109","SI201",108,3,3,4,0,1,"Pre"
"110","SI201",109,4,7,4,3,0,"Pre"
"111","SI201",110,3,3,3,0,0,"Pre"
"112","SI201",111,5,8,5,3,0,"Pre"
"113","SI201",112,6,4,5,-2,-1,"Pre"
"114","SI201",113,4,7,5,3,1,"Pre"
"115","SI201",114,4,2,5,-2,1,"Pre"
"116","SI201",115,3,1,3,-2,0,"Pre"
"117","SI201",116,3,3,3,0,0,"Pre"
"118","SI201",117,5,5,5,0,0,"Pre"
"119","SI201",118,4,4,4,0,0,"Pre"
"120","SI201",119,5,2,4,-3,-1,"Pre"
"121","SI201",120,3,3,3,0,0,"Pre"
"122","SI201",121,3,5,4,2,1,"Pre"
"123","SI201",122,5,7,6,2,1,"Pre"
"124","SI201",123,4,4,4,0,0,"Pre"
"125","SI201",124,5,2,5,-3,0,"Pre"
"126","SI201",125,5,8,5,3,0,"Pre"
"127","SI201",126,4,1,4,-3,0,"Pre"
"128","SI201",127,5,2,5,-3,0,"Pre"
"129","SI201",128,4,7,4,3,0,"Pre"
"130","SI201",129,3,3,4,0,1,"Pre"
"131","SI201",130,4,4,3,0,-1,"Pre"
"132","SI201",131,4,7,4,3,0,"Pre"
"133","SI201",132,5,7,5,2,0,"Pre"
"134","SI201",133,4,6,4,2,0,"Pre"
"135","SI201",134,5,8,4,3,-1,"Pre"
"136","SI201",135,4,6,5,2,1,"Pre"
"137","SI201",136,4,4,5,0,1,"Pre"
"138","SI201",137,4,4,5,0,1,"Pre"
"139","SI201",138,3,6,3,3,0,"Pre"
"140","SI201",139,4,4,5,0,1,"Pre"
"141","SI201",140,5,2,5,-3,0,"Pre"
"142","SI201",141,4,7,5,3,1,"Pre"
"143","SI201",142,3,3,5,0,2,"Pre"
"144","SI201",143,5,5,4,0,-1,"Pre"
"145","SI201",144,4,6,4,2,0,"Pre"
"146","SI201",145,6,4,6,-2,0,"Pre"
"147","SI201",146,4,6,5,2,1,"Pre"
"148","SI201",147,5,2,5,-3,0,"Pre"
"149","SI201",148,6,4,6,-2,0,"Pre"
"150","SI201",149,5,3,5,-2,0,"Pre"
"151","SI201",150,4,4,4,0,0,"Pre"
"152","SI201",151,6,3,5,-3,-1,"Pre"
"153","SI201",152,4,1,4,-3,0,"Pre"
"154","SI203",0,6,6,6,0,0,"Pre"
"155","SI203",1,6,8,7,2,1,"Pre"
"156","SI203",2,5,5,6,0,1,"Pre"
"157","SI203",3,5,7,5,2,0,"Pre"
"158","SI203",4,5,5,4,0,-1,"Pre"
"159","SI203",5,6,8,4,2,-2,"Pre"
"160","SI203",6,4,4,5,0,1,"Pre"
"161","SI203",7,5,5,4,0,-1,"Pre"
"162","SI203",8,5,7,6,2,1,"Pre"
"163","SI203",9,5,3,6,-2,1,"Pre"
"164","SI203",10,5,2,6,-3,1,"Pre"
"165","SI203",11,6,3,4,-3,-2,"Pre"
"166","SI203",12,7,5,4,-2,-3,"Pre"
"167","SI203",13,5,2,5,-3,0,"Pre"
"168","SI203",14,3,6,5,3,2,"Pre"
"169","SI203",15,6,6,6,0,0,"Pre"
"170","SI203",16,5,3,5,-2,0,"Pre"
"171","SI203",17,4,7,4,3,0,"Pre"
"172","SI203",18,6,3,5,-3,-1,"Pre"
"173","SI203",19,6,4,4,-2,-2,"Pre"
"174","SI203",20,3,3,4,0,1,"Pre"
"175","SI203",21,6,6,3,0,-3,"Pre"
"176","SI203",22,6,6,4,0,-2,"Pre"
"177","SI203",23,3,3,3,0,0,"Pre"
"178","SI203",24,3,6,5,3,2,"Pre"
"179","SI203",25,5,3,5,-2,0,"Pre"
"180","SI203",26,6,4,5,-2,-1,"Pre"
"181","SI203",27,5,8,4,3,-1,"Pre"
"182","SI203",28,3,3,3,0,0,"Pre"
"183","SI203",29,7,7,5,0,-2,"Pre"
"184","SI203",30,4,2,3,-2,-1,"Pre"
"185","SI203",31,5,3,3,-2,-2,"Pre"
"186","SI203",32,5,2,5,-3,0,"Pre"
"187","SI203",33,6,6,4,0,-2,"Pre"
"188","SI203",34,5,8,5,3,0,"Pre"
"189","SI203",35,4,7,3,3,-1,"Pre"
"190","SI203",36,5,5,6,0,1,"Pre"
"191","SI203",37,5,5,7,0,2,"Pre"
"192","SI203",38,5,5,4,0,-1,"Pre"
"193","SI203",39,5,7,5,2,0,"Pre"
"194","SI203",40,5,5,5,0,0,"Pre"
"195","SI203",41,4,6,3,2,-1,"Pre"
"196","SI203",42,3,3,3,0,0,"Pre"
"197","SI203",43,6,3,6,-3,0,"Pre"
"198","SI203",44,6,8,4,2,-2,"Pre"
"199","SI203",45,6,6,5,0,-1,"Pre"
"200","SI203",46,5,5,4,0,-1,"Pre"
"201","SI203",47,2,2,5,0,3,"Pre"
"202","SI203",48,3,5,4,2,1,"Pre"
"203","SI203",49,6,8,5,2,-1,"Pre"
"204","SI203",50,6,6,3,0,-3,"Pre"
"205","SI203",51,3,3,3,0,0,"Pre"
"206","SI203",52,4,4,3,0,-1,"Pre"
"207","SI203",53,3,5,3,2,0,"Pre"
"208","SI203",54,3,3,3,0,0,"Pre"
"209","SI203",55,5,3,4,-2,-1,"Pre"
"210","SI203",56,6,3,7,-3,1,"Pre"
"211","SI203",57,4,7,3,3,-1,"Pre"
"212","SI203",58,4,7,6,3,2,"Pre"
"213","SI203",59,5,8,6,3,1,"Pre"
"214","SI203",60,3,6,5,3,2,"Pre"
"215","SI203",61,3,6,3,3,0,"Pre"
"216","SI203",62,5,2,5,-3,0,"Pre"
"217","SI203",63,5,2,3,-3,-2,"Pre"
"218","SI203",64,3,1,2,-2,-1,"Pre"
"219","SI203",65,6,3,4,-3,-2,"Pre"
"220","SI203",66,7,5,3,-2,-4,"Pre"
"221","SI203",67,4,4,4,0,0,"Pre"
"222","SI203",68,3,3,4,0,1,"Pre"
"223","SI203",69,6,6,5,0,-1,"Pre"
"224","SI203",70,3,1,4,-2,1,"Pre"
"225","SI203",71,4,2,3,-2,-1,"Pre"
"226","SI203",72,7,7,6,0,-1,"Pre"
"227","SI203",73,4,4,4,0,0,"Pre"
"228","SI203",74,2,4,4,2,2,"Pre"
"229","SI203",75,4,4,6,0,2,"Pre"
"230","SI203",76,5,5,5,0,0,"Pre"
"231","SI203",77,5,8,5,3,0,"Pre"
"232","SI203",78,6,4,3,-2,-3,"Pre"
"233","SI203",79,6,8,5,2,-1,"Pre"
"234","SI203",80,5,3,4,-2,-1,"Pre"
"235","SI203",81,3,6,3,3,0,"Pre"
"236","SI203",82,3,3,4,0,1,"Pre"
"237","SI203",83,7,7,5,0,-2,"Pre"
"238","SI203",84,5,2,5,-3,0,"Pre"
"239","SI203",85,3,3,4,0,1,"Pre"
"240","SI203",86,5,7,5,2,0,"Pre"
"241","SI203",87,5,5,5,0,0,"Pre"
"242","SI203",88,5,5,5,0,0,"Pre"
"243","SI203",89,5,2,5,-3,0,"Pre"
"244","SI203",90,5,5,3,0,-2,"Pre"
"245","SI203",91,5,2,5,-3,0,"Pre"
"246","SI203",92,6,8,5,2,-1,"Pre"
"247","SI203",93,4,7,4,3,0,"Pre"
"248","SI203",94,4,7,5,3,1,"Pre"
"249","SI203",95,3,5,4,2,1,"Pre"
"250","SI203",96,5,8,4,3,-1,"Pre"
"251","SI203",97,3,5,3,2,0,"Pre"
"252","SI203",98,4,7,5,3,1,"Pre"
"253","SI203",99,6,8,6,2,0,"Pre"
"254","SI203",100,5,3,6,-2,1,"Pre"
"255","SI203",101,5,8,5,3,0,"Pre"
"256","SI203",102,7,5,5,-2,-2,"Pre"
"257","SI203",103,6,3,3,-3,-3,"Pre"
"258","SI203",104,3,1,4,-2,1,"Pre"
"259","SI203",105,3,6,4,3,1,"Pre"
"260","SI203",106,5,3,4,-2,-1,"Pre"
"261","SI203",107,3,3,4,0,1,"Pre"
"262","SI203",108,5,2,5,-3,0,"Pre"
"263","SI203",109,6,3,3,-3,-3,"Pre"
"264","SI203",110,5,5,4,0,-1,"Pre"
"265","SI203",111,6,6,5,0,-1,"Pre"
"266","SI203",112,5,8,6,3,1,"Pre"
"267","SI203",113,7,7,7,0,0,"Pre"
"268","SI203",114,6,6,4,0,-2,"Pre"
"269","SI203",115,5,5,4,0,-1,"Pre"
"270","SI203",116,4,1,3,-3,-1,"Pre"
"271","SI203",117,3,5,5,2,2,"Pre"
"272","SI203",118,3,5,3,2,0,"Pre"
"273","SI203",119,6,3,5,-3,-1,"Pre"
"274","SI203",120,6,6,4,0,-2,"Pre"
"275","SI203",121,1,1,4,0,3,"Pre"
"276","SI203",122,6,3,5,-3,-1,"Pre"
"277","SI203",123,6,6,6,0,0,"Pre"
"278","SI203",124,5,3,6,-2,1,"Pre"
"279","SI203",125,4,7,3,3,-1,"Pre"
"280","SI203",126,5,7,3,2,-2,"Pre"
"281","SI203",127,6,4,6,-2,0,"Pre"
"282","SI203",128,2,5,3,3,1,"Pre"
"283","SI203",129,2,2,2,0,0,"Pre"
"284","SI203",130,4,4,2,0,-2,"Pre"
"285","SI203",131,6,6,5,0,-1,"Pre"
"286","SI203",132,5,8,4,3,-1,"Pre"
"287","SI203",133,6,4,5,-2,-1,"Pre"
"288","SI203",134,5,2,5,-3,0,"Pre"
"289","SI203",135,5,2,3,-3,-2,"Pre"
"290","SI203",136,4,7,4,3,0,"Pre"
"291","SI203",137,3,1,5,-2,2,"Pre"
"292","SI203",138,3,5,3,2,0,"Pre"
"293","SI203",139,4,4,3,0,-1,"Pre"
"294","SI203",140,5,2,4,-3,-1,"Pre"
"295","SI203",141,7,5,6,-2,-1,"Pre"
"296","SI203",142,4,2,6,-2,2,"Pre"
"297","SI203",143,2,2,3,0,1,"Pre"
"298","SI203",144,5,7,4,2,-1,"Pre"
"299","SI203",145,3,5,5,2,2,"Pre"
"300","SI203",146,6,4,6,-2,0,"Pre"
"301","SI203",147,6,3,5,-3,-1,"Pre"
"302","SI203",148,5,7,6,2,1,"Pre"
"303","SI203",149,6,8,6,2,0,"Pre"
"304","SI203",150,4,1,4,-3,0,"Pre"
"305","SI203",151,6,6,6,0,0,"Pre"
"306","SI203",152,4,1,4,-3,0,"Pre"
"307","SI204",0,6,8,6,2,0,"Pre"
"308","SI204",1,5,5,4,0,-1,"Pre"
"309","SI204",2,6,8,4,2,-2,"Pre"
"310","SI204",3,3,6,3,3,0,"Pre"
"311","SI204",4,7,4,5,-3,-2,"Pre"
"312","SI204",5,6,4,6,-2,0,"Pre"
"313","SI204",6,4,4,4,0,0,"Pre"
"314","SI204",7,7,7,5,0,-2,"Pre"
"315","SI204",8,3,3,3,0,0,"Pre"
"316","SI204",9,3,6,3,3,0,"Pre"
"317","SI204",10,6,6,7,0,1,"Pre"
"318","SI204",11,5,5,3,0,-2,"Pre"
"319","SI204",12,8,8,6,0,-2,"Pre"
"320","SI204",13,4,6,4,2,0,"Pre"
"321","SI204",14,6,3,5,-3,-1,"Pre"
"322","SI204",15,4,4,4,0,0,"Pre"
"323","SI204",16,4,2,3,-2,-1,"Pre"
"324","SI204",17,6,6,7,0,1,"Pre"
"325","SI204",18,7,7,5,0,-2,"Pre"
"326","SI204",19,5,5,6,0,1,"Pre"
"327","SI204",20,3,3,6,0,3,"Pre"
"328","SI204",21,4,6,4,2,0,"Pre"
"329","SI204",22,5,3,3,-2,-2,"Pre"
"330","SI204",23,6,4,6,-2,0,"Pre"
"331","SI204",24,8,6,5,-2,-3,"Pre"
"332","SI204",25,6,8,5,2,-1,"Pre"
"333","SI204",26,3,5,4,2,1,"Pre"
"334","SI204",27,5,5,5,0,0,"Pre"
"335","SI204",28,3,3,4,0,1,"Pre"
"336","SI204",29,7,4,6,-3,-1,"Pre"
"337","SI204",30,6,4,5,-2,-1,"Pre"
"338","SI204",31,6,6,5,0,-1,"Pre"
"339","SI204",32,4,4,3,0,-1,"Pre"
"340","SI204",33,7,5,4,-2,-3,"Pre"
"341","SI204",34,6,3,6,-3,0,"Pre"
"342","SI204",35,8,8,5,0,-3,"Pre"
"343","SI204",36,3,3,4,0,1,"Pre"
"344","SI204",37,6,8,7,2,1,"Pre"
"345","SI204",38,4,4,4,0,0,"Pre"
"346","SI204",39,4,7,4,3,0,"Pre"
"347","SI204",40,7,4,6,-3,-1,"Pre"
"348","SI204",41,6,4,5,-2,-1,"Pre"
"349","SI204",42,6,8,5,2,-1,"Pre"
"350","SI204",43,5,8,5,3,0,"Pre"
"351","SI204",44,5,7,5,2,0,"Pre"
"352","SI204",45,5,8,4,3,-1,"Pre"
"353","SI204",46,6,6,6,0,0,"Pre"
"354","SI204",47,6,8,7,2,1,"Pre"
"355","SI204",48,7,4,4,-3,-3,"Pre"
"356","SI204",49,4,1,3,-3,-1,"Pre"
"357","SI204",50,6,4,7,-2,1,"Pre"
"358","SI204",51,5,8,4,3,-1,"Pre"
"359","SI204",52,5,8,3,3,-2,"Pre"
"360","SI204",53,5,3,6,-2,1,"Pre"
"361","SI204",54,4,1,4,-3,0,"Pre"
"362","SI204",55,7,7,8,0,1,"Pre"
"363","SI204",56,7,7,6,0,-1,"Pre"
"364","SI204",57,3,3,3,0,0,"Pre"
"365","SI204",58,2,2,3,0,1,"Pre"
"366","SI204",59,5,5,6,0,1,"Pre"
"367","SI204",60,3,3,5,0,2,"Pre"
"368","SI204",61,7,4,3,-3,-4,"Pre"
"369","SI204",62,6,8,3,2,-3,"Pre"
"370","SI204",63,5,3,6,-2,1,"Pre"
"371","SI204",64,5,2,5,-3,0,"Pre"
"372","SI204",65,4,6,4,2,0,"Pre"
"373","SI204",66,4,6,5,2,1,"Pre"
"374","SI204",67,6,6,5,0,-1,"Pre"
"375","SI204",68,7,5,5,-2,-2,"Pre"
"376","SI204",69,5,3,6,-2,1,"Pre"
"377","SI204",70,6,3,6,-3,0,"Pre"
"378","SI204",71,6,6,7,0,1,"Pre"
"379","SI204",72,4,6,4,2,0,"Pre"
"380","SI204",73,3,6,5,3,2,"Pre"
"381","SI204",74,3,5,4,2,1,"Pre"
"382","SI204",75,6,3,5,-3,-1,"Pre"
"383","SI204",76,6,3,4,-3,-2,"Pre"
"384","SI204",77,4,4,6,0,2,"Pre"
"385","SI204",78,3,6,4,3,1,"Pre"
"386","SI204",79,6,6,6,0,0,"Pre"
"387","SI204",80,5,5,5,0,0,"Pre"
"388","SI204",81,5,7,5,2,0,"Pre"
"389","SI204",82,4,2,4,-2,0,"Pre"
"390","SI204",83,7,4,6,-3,-1,"Pre"
"391","SI204",84,6,4,6,-2,0,"Pre"
"392","SI204",85,6,8,6,2,0,"Pre"
"393","SI204",86,5,8,4,3,-1,"Pre"
"394","SI204",87,6,6,6,0,0,"Pre"
"395","SI204",88,7,4,6,-3,-1,"Pre"
"396","SI204",89,8,8,6,0,-2,"Pre"
"397","SI204",90,5,8,4,3,-1,"Pre"
"398","SI204",91,6,8,5,2,-1,"Pre"
"399","SI204",92,4,4,4,0,0,"Pre"
"400","SI204",93,7,7,6,0,-1,"Pre"
"401","SI204",94,6,3,6,-3,0,"Pre"
"402","SI204",95,5,8,6,3,1,"Pre"
"403","SI204",96,7,5,6,-2,-1,"Pre"
"404","SI204",97,6,8,7,2,1,"Pre"
"405","SI204",98,2,2,3,0,1,"Pre"
"406","SI204",99,4,1,7,-3,3,"Pre"
"407","SI204",100,5,2,6,-3,1,"Pre"
"408","SI204",101,5,8,6,3,1,"Pre"
"409","SI204",102,7,7,6,0,-1,"Pre"
"410","SI204",103,7,7,4,0,-3,"Pre"
"411","SI204",104,4,7,4,3,0,"Pre"
"412","SI204",105,4,7,6,3,2,"Pre"
"413","SI204",106,7,7,7,0,0,"Pre"
"414","SI204",107,7,7,5,0,-2,"Pre"
"415","SI204",108,6,6,6,0,0,"Pre"
"416","SI204",109,4,7,4,3,0,"Pre"
"417","SI204",110,6,6,4,0,-2,"Pre"
"418","SI204",111,7,7,5,0,-2,"Pre"
"419","SI204",112,5,7,6,2,1,"Pre"
"420","SI204",113,5,7,7,2,2,"Pre"
"421","SI204",114,6,4,6,-2,0,"Pre"
"422","SI204",115,4,6,4,2,0,"Pre"
"423","SI204",116,7,7,5,0,-2,"Pre"
"424","SI204",117,5,8,6,3,1,"Pre"
"425","SI204",118,3,6,3,3,0,"Pre"
"426","SI204",119,7,7,6,0,-1,"Pre"
"427","SI204",120,5,2,4,-3,-1,"Pre"
"428","SI204",121,4,1,4,-3,0,"Pre"
"429","SI204",122,5,5,6,0,1,"Pre"
"430","SI204",123,4,6,5,2,1,"Pre"
"431","SI204",124,6,6,6,0,0,"Pre"
"432","SI204",125,6,8,6,2,0,"Pre"
"433","SI204",126,5,8,5,3,0,"Pre"
"434","SI204",127,6,4,7,-2,1,"Pre"
"435","SI204",128,6,6,4,0,-2,"Pre"
"436","SI204",129,6,3,4,-3,-2,"Pre"
"437","SI204",130,6,3,3,-3,-3,"Pre"
"438","SI204",131,5,3,4,-2,-1,"Pre"
"439","SI204",132,6,4,5,-2,-1,"Pre"
"440","SI204",133,3,3,4,0,1,"Pre"
"441","SI204",134,5,8,7,3,2,"Pre"
"442","SI204",135,3,1,5,-2,2,"Pre"
"443","SI204",136,6,6,5,0,-1,"Pre"
"444","SI204",137,6,6,7,0,1,"Pre"
"445","SI204",138,4,7,4,3,0,"Pre"
"446","SI204",139,6,6,5,0,-1,"Pre"
"447","SI204",140,7,5,4,-2,-3,"Pre"
"448","SI204",141,4,2,4,-2,0,"Pre"
"449","SI204",142,6,6,4,0,-2,"Pre"
"450","SI204",143,5,3,4,-2,-1,"Pre"
"451","SI204",144,5,3,6,-2,1,"Pre"
"452","SI204",145,6,6,8,0,2,"Pre"
"453","SI204",146,6,4,5,-2,-1,"Pre"
"454","SI204",147,7,4,6,-3,-1,"Pre"
"455","SI204",148,7,4,6,-3,-1,"Pre"
"456","SI204",149,7,4,6,-3,-1,"Pre"
"457","SI204",150,4,4,4,0,0,"Pre"
"458","SI204",151,6,6,6,0,0,"Pre"
"459","SI204",152,5,7,6,2,1,"Pre"
"460","SI205",0,7,7,6,0,-1,"Pre"
"461","SI205",1,6,3,5,-3,-1,"Pre"
"462","SI205",2,6,4,6,-2,0,"Pre"
"463","SI205",3,1,1,2,0,1,"Pre"
"464","SI205",4,4,7,3,3,-1,"Pre"
"465","SI205",5,4,4,3,0,-1,"Pre"
"466","SI205",6,1,3,3,2,2,"Pre"
"467","SI205",7,5,8,2,3,-3,"Pre"
"468","SI205",8,6,8,5,2,-1,"Pre"
"469","SI205",9,3,3,2,0,-1,"Pre"
"470","SI205",10,5,8,3,3,-2,"Pre"
"471","SI205",11,4,7,2,3,-2,"Pre"
"472","SI205",12,6,6,6,0,0,"Pre"
"473","SI205",13,3,3,2,0,-1,"Pre"
"474","SI205",14,4,7,3,3,-1,"Pre"
"475","SI205",15,4,1,4,-3,0,"Pre"
"476","SI205",16,4,1,4,-3,0,"Pre"
"477","SI205",17,1,1,2,0,1,"Pre"
"478","SI205",18,3,3,3,0,0,"Pre"
"479","SI205",19,3,5,2,2,-1,"Pre"
"480","SI205",20,3,5,4,2,1,"Pre"
"481","SI205",21,5,2,3,-3,-2,"Pre"
"482","SI205",22,1,1,1,0,0,"Pre"
"483","SI205",23,3,1,4,-2,1,"Pre"
"484","SI205",24,3,1,5,-2,2,"Pre"
"485","SI205",25,5,2,4,-3,-1,"Pre"
"486","SI205",26,2,5,2,3,0,"Pre"
"487","SI205",27,4,7,3,3,-1,"Pre"
"488","SI205",28,4,7,2,3,-2,"Pre"
"489","SI205",29,5,3,5,-2,0,"Pre"
"490","SI205",30,6,4,6,-2,0,"Pre"
"491","SI205",31,4,1,3,-3,-1,"Pre"
"492","SI205",32,6,4,5,-2,-1,"Pre"
"493","SI205",33,3,3,4,0,1,"Pre"
"494","SI205",34,2,4,3,2,1,"Pre"
"495","SI205",35,4,4,4,0,0,"Pre"
"496","SI205",36,5,3,4,-2,-1,"Pre"
"497","SI205",37,5,2,4,-3,-1,"Pre"
"498","SI205",38,6,6,5,0,-1,"Pre"
"499","SI205",39,6,3,6,-3,0,"Pre"
"500","SI205",40,6,3,5,-3,-1,"Pre"
"501","SI205",41,4,2,6,-2,2,"Pre"
"502","SI205",42,5,7,3,2,-2,"Pre"
"503","SI205",43,5,7,5,2,0,"Pre"
"504","SI205",44,6,8,6,2,0,"Pre"
"505","SI205",45,6,4,7,-2,1,"Pre"
"506","SI205",46,6,6,5,0,-1,"Pre"
"507","SI205",47,4,7,4,3,0,"Pre"
"508","SI205",48,5,5,6,0,1,"Pre"
"509","SI205",49,4,4,3,0,-1,"Pre"
"510","SI205",50,4,4,5,0,1,"Pre"
"511","SI205",51,2,4,3,2,1,"Pre"
"512","SI205",52,4,6,3,2,-1,"Pre"
"513","SI205",53,4,7,6,3,2,"Pre"
"514","SI205",54,3,6,4,3,1,"Pre"
"515","SI205",55,4,2,5,-2,1,"Pre"
"516","SI205",56,6,8,6,2,0,"Pre"
"517","SI205",57,3,3,3,0,0,"Pre"
"518","SI205",58,6,3,6,-3,0,"Pre"
"519","SI205",59,6,8,7,2,1,"Pre"
"520","SI205",60,4,4,5,0,1,"Pre"
"521","SI205",61,3,3,4,0,1,"Pre"
"522","SI205",62,5,5,5,0,0,"Pre"
"523","SI205",63,4,2,4,-2,0,"Pre"
"524","SI205",64,3,1,3,-2,0,"Pre"
"525","SI205",65,5,3,5,-2,0,"Pre"
"526","SI205",66,3,6,5,3,2,"Pre"
"527","SI205",67,4,4,4,0,0,"Pre"
"528","SI205",68,4,7,5,3,1,"Pre"
"529","SI205",69,5,5,4,0,-1,"Pre"
"530","SI205",70,5,5,4,0,-1,"Pre"
"531","SI205",71,5,5,5,0,0,"Pre"
"532","SI205",72,2,2,6,0,4,"Pre"
"533","SI205",73,6,8,6,2,0,"Pre"
"534","SI205",74,5,8,6,3,1,"Pre"
"535","SI205",75,6,6,6,0,0,"Pre"
"536","SI205",76,3,5,3,2,0,"Pre"
"537","SI205",77,3,6,2,3,-1,"Pre"
"538","SI205",78,3,3,4,0,1,"Pre"
"539","SI205",79,6,8,3,2,-3,"Pre"
"540","SI205",80,6,3,3,-3,-3,"Pre"
"541","SI205",81,4,6,5,2,1,"Pre"
"542","SI205",82,1,1,2,0,1,"Pre"
"543","SI205",83,5,5,5,0,0,"Pre"
